Runkeeper,Crime,StLights
635.7142857,392.8571429,885.7142857
185.7142857,314.2857143,971.4285714
307.1428571,335.7142857,535.7142857
100,350,807.1428571
114.2857143,142.8571429,1614.285714
900,378.5714286,800
478.5714286,507.1428571,13078.57143
928.5714286,1192.857143,2435.714286
821.4285714,1214.285714,26057.14286
100,1735.714286,33192.85714
178.5714286,528.5714286,15614.28571
14.28571429,1092.857143,19385.71429
14.28571429,1150,18828.57143
64.28571429,1921.428571,32878.57143
250,1371.428571,32014.28571
0,1057.142857,12157.14286
442.8571429,1035.714286,29607.14286
178.5714286,1078.571429,12485.71429
250,285.7142857,2128.571429
842.8571429,957.1428571,32257.14286
207.1428571,764.2857143,15142.85714
235.7142857,492.8571429,14864.28571
614.2857143,492.8571429,3485.714286
935.7142857,907.1428571,15471.42857
21.42857143,871.4285714,12057.14286
42.85714286,7.142857143,107.1428571
114.2857143,228.5714286,35.71428571
21.42857143,71.42857143,42.85714286
364.2857143,207.1428571,2342.857143
642.8571429,514.2857143,4442.857143
